ID Node1 Node2 Node3 Nabr1 Nabr2 Nabr3
347 194 195 196 404 323 346
348 215 193 216 384 388 381
349 218 211 216 386 384 345
350 185 225 195 404 376 405
351 252 198 199 227 449 453
352 199 196 225 404 456 227
353 196 198 181 324 323 227
354 181 200 101 0 173 324
355 204 244 254 221 457 363
356 5 251 249 450 225 380
357 188 201 226 406 327 202
358 198 197 200 0 324 453
359 236 232 234 417 421 541
360 184 228 183 413 236 408
361 240 109 243 431 429 286
362 203 241 239 435 426 438
363 204 148 244 439 355 268
364 206 129 205 366 365 174
365 206 205 152 326 269 364
366 207 205 129 364 369 59
367 185 210 204 375 457 376
368 217 216 224 386 403 388
369 208 207 129 366 371 123
370 207 9 305 548 108 442
371 76 208 129 369 165 209
372 38 39 245 441 56 114
373 210 209 206 174 375 400
374 215 217 111 387 385 388
375 204 210 206 373 269 367
376 195 210 185 367 350 401
377 223 222 209 398 400 378
378 222 223 211 389 399 377
379 214 91 87 8 382 310
380 250 251 5 356 0 446
381 215 213 193 383 348 344
382 214 87 306 550 150 379
383 193 213 214 310 392 381
384 193 218 216 349 348 390
385 174 215 111 374 319 344
386 216 211 224 389 368 349
387 111 217 195 403 346 374
388 215 216 217 368 374 348
389 224 211 223 378 402 386
390 219 218 193 384 392 141
391 220 218 99 141 394 345
392 214 219 193 390 383 158
393 99 219 94 158 164 141
394 221 220 99 391 396 395
395 222 220 221 394 172 399
396 307 221 99 394 171 553
397 72 221 74 553 91 112
398 209 222 76 172 165 377
399 211 220 222 395 378 345
400 209 210 223 402 377 373
401 210 195 224 403 402 376
402 210 224 223 389 400 401
403 195 217 224 368 401 387
404 195 225 196 352 347 350
405 254 225 185 350 457 456
406 201 202 226 411 357 341
407 230 228 202 411 203 325
408 184 226 228 411 360 327
409 301 303 232 545 541 540
410 127 304 182 547 342 343
411 226 202 228 407 408 406
412 190 231 233 415 224 0
413 232 183 228 360 325 545
414 234 230 233 203 419 417
415 253 233 231 412 416 419
416 253 231 2 0 454 415
417 234 232 230 325 414 359
418 300 301 236 541 424 537
419 253 234 233 414 415 455
420 120 292 294 422 530 524
421 236 234 229 455 423 359
422 294 292 290 525 528 420
423 229 227 236 424 421 0
424 236 227 300 539 418 423
425 238 130 125 190 226 428
426 239 237 203 427 362 218
427 203 237 238 428 432 426
428 130 238 237 427 228 425
429 240 243 203 438 432 361
430 283 275 282 509 508 495
431 109 127 243 342 361 331
432 203 238 240 226 429 427
433 289 287 285 507 515 492
434 267 260 258 472 467 470
435 273 239 241 362 498 491
436 255 264 257 476 461 302
437 308 243 182 342 554 518
438 203 243 241 518 362 429
439 247 244 148 363 308 445
440 249 212 248 447 225 448
441 36 245 39 372 51 50
442 207 245 9 50 370 123
443 151 212 247 445 263 252
444 265 256 264 476 475 486
445 244 247 212 443 448 439
446 252 251 250 380 452 449
447 212 173 248 0 440 332
448 244 212 249 440 450 445
449 199 251 252 446 351 451
450 251 244 249 448 356 451
451 244 251 199 449 221 450
452 250 197 252 453 446 0
453 198 252 197 452 358 351
454 2 229 253 455 416 0
455 229 234 253 419 454 421
456 225 254 199 221 352 405
457 204 254 185 405 367 355
458 264 169 165 296 475 302
459 246 138 255 223 461 0
460 258 262 263 485 502 472
461 255 257 246 463 459 436
462 257 262 260 472 466 468
463 259 246 257 461 466 0
464 270 262 256 468 486 485
465 276 278 279 500 512 501
466 259 257 260 462 222 463
467 278 267 258 434 500 496
468 262 257 256 476 464 462
469 274 279 263 502 493 503
470 128 260 267 434 479 222
471 265 271 270 478 486 487
472 258 260 262 462 460 434
473 272 263 271 478 488 493
474 286 285 274 513 514 515
475 265 264 165 458 477 444
476 264 256 257 468 436 444
477 268 265 165 475 481 292
478 271 263 270 485 471 473
479 261 128 267 470 497 0
480 261 280 297 535 0 497
481 163 268 165 477 289 293
482 269 268 164 293 483 292
483 162 269 164 482 294 301
484 269 242 271 488 487 301
485 262 270 263 478 460 464
486 256 265 270 471 464 444
487 269 271 265 471 292 484
488 271 242 272 489 473 484
489 242 273 272 494 488 491
490 274 272 277 494 514 493
491 239 273 242 489 210 435
492 287 289 281 522 519 433
493 263 272 274 490 469 473
494 272 273 277 516 490 489
495 283 266 275 0 430 506
496 267 278 280 501 497 467
497 280 261 267 479 496 480
498 241 288 273 516 435 531
499 290 289 286 515 521 525
500 279 278 258 467 502 465
501 278 276 280 504 496 465
502 263 279 258 500 460 469
503 279 274 284 513 512 469
504 276 282 280 509 501 508
505 297 296 1 0 0 535
506 266 283 287 511 519 495
507 287 284 285 513 433 511
508 282 276 283 510 430 504
509 275 280 282 504 430 534
510 276 284 283 511 508 512
511 284 287 283 506 510 507
512 279 284 276 510 465 503
513 285 284 274 503 474 507
514 286 274 277 490 517 474
515 289 285 286 474 499 433
516 288 277 273 494 498 517
517 286 277 288 516 521 514
518 308 241 243 438 437 531
519 281 266 287 506 492 0
520 299 293 298 532 527 0
521 290 286 288 517 529 499
522 291 281 289 492 526 0
523 294 302 298 533 532 536
524 291 292 120 420 0 526
525 289 290 292 422 526 499
526 292 291 289 522 525 524
527 298 300 299 539 520 538
528 295 294 290 422 529 536
529 290 288 295 555 528 521
530 293 120 294 420 532 0
531 308 288 241 498 518 555
532 293 294 298 523 520 530
533 298 302 235 544 538 523
534 280 275 296 0 535 509
535 296 297 280 480 534 505
536 302 294 295 528 542 523
537 300 235 301 540 418 538
538 300 298 235 533 537 527
539 227 299 300 527 424 0
540 303 301 235 537 544 409
541 236 301 232 409 359 418
542 308 302 295 536 555 554
543 304 183 303 545 546 343
544 302 303 235 540 533 546
545 232 303 183 543 413 409
546 303 302 304 547 543 544
547 302 182 304 410 546 554
548 37 305 9 370 3 110
549 64 305 65 110 192 109
550 89 306 87 382 152 153
551 85 306 81 153 140 132
552 75 307 98 171 163 169
553 221 307 74 129 397 396
554 302 308 182 437 547 542
555 288 308 295 542 529 531
