ID X Y Elevation Lon Lat
33 981.6311 681.8691 1021.6 -95.9906038328781 23.0062741207717
34 1260.068 771.8105 1037.4 -95.9879385272662 23.0071014624284
35 1460 929.9235 1050.6 -95.9860245394605 23.0085561427599
36 958.2956 603.7051 1019.1 -95.9908272723614 23.0055548831228
37 875.2771 562.2003 1013.95 -95.9916219537192 23.0051730291675
38 1089.451 564.0497 1024.8 -95.9895719051877 23.0051898522361
39 1035.747 623.1477 1023.25 -95.9900858944426 23.0057337209191
40 1135.804 660.122 1028.95 -95.9891281146112 23.0060738546747
41 1255.642 856.2653 1038.85 -95.987980791053 23.0078786090974
42 1177.909 849.7232 1035 -95.9887248713634 23.0078184973335
43 1352.426 818.9943 1042.9 -95.9870544075122 23.0075355297557
44 1170.282 759.4053 1032.7 -95.9887979801032 23.0069874124117
45 1383.921 917.8091 1046.65 -95.9867528015485 23.0084447683951
46 1492 1000 1053.5 -95.985718127193 23.0092009300256
47 1428 1000 1050.5 -95.9863307544362 23.0092010166314
48 1620 756 1055.1 -95.9844932538214 23.0069554957262
49 1434.141 847.376 1047.65 -95.986272181978 23.0077965885796
50 1620 878 1057.6 -95.9844930632682 23.008078122909
51 1438.796 702.15 1045 -95.9862278250598 23.0064602308229
52 1548.981 931.6355 1055.1 -95.9851727900306 23.0085717722077
53 1413.827 774.0373 1045.25 -95.9864667306749 23.0071217626363
54 1337.508 734.2115 1040.7 -95.9871973138213 23.0067553876375
55 1517.323 769.7047 1050.15 -95.9854760647306 23.0070817540019
56 1251.738 656.1058 1034.6 -95.9880184023343 23.0060367696824
57 1542.253 848.8909 1053 -95.9852373150649 23.007810379343
58 813.3824 621.8953 1012.4 -95.992214355469 23.0057223869792
59 669.0135 626.4406 1019 -95.993596242449 23.0057643116554
60 741.9066 646.6754 1015.9 -95.9928984995472 23.005950462981
61 405 1000 1039.75 -95.9961232181453 23.0092018856361
62 737.9079 519.6686 1013.4 -95.9929368652989 23.0047817573362
63 803.7834 550.0074 1011 -95.992306292193 23.0050608864137
64 819.4961 429.2019 1008.6 -95.9921559877625 23.0039492266252
65 850.0199 494.5966 1011.4 -95.991863767975 23.0045509633107
66 927.1491 418.7745 1013.65 -95.9911255694276 23.0038531867059
67 1074.255 672.809 1026.25 -95.9897172468417 23.0061906623368
68 1115.21 715.8519 1029.05 -95.9893251799041 23.0065866972722
69 1169.227 704.1432 1031.6 -95.9888081409318 23.00647889785
70 1193.524 650.9961 1031.75 -95.9885756308274 23.0059898166324
71 1219.982 730.8162 1034.6 -95.9883222819123 23.0067242837562
72 1154.59 591.84 1028.55 -95.9889483715331 23.0054455090906
73 1279.312 712.8967 1037.3 -95.9877543948104 23.0065593217346
74 1228.603 585.5177 1032.2 -95.9882399334527 23.0053872499637
75 1335.082 650.7296 1038.75 -95.9872206430571 23.0059871984439
76 1166.584 473.4903 1026.75 -95.9888336991844 23.0043564480065
77 1620 634 1052.7 -95.9844934443698 23.0058328638762
78 764.0238 784.6601 1017.45 -95.9926866929484 23.0072201681279
79 692.0695 792.6869 1021.4 -95.9933754408588 23.0072940782607
80 1559.605 695 1050.9 -95.985071450433 23.0063942693763
81 1497.386 573 1045.25 -95.9856671872351 23.0052717233351
82 1548.627 623.733 1049 -95.9851766383265 23.0057384925558
83 1497.397 668.1036 1047.15 -95.9856669446483 23.006146859397
84 1565.256 555.6931 1048.35 -95.985017569248 23.0051123699292
85 1430.584 620.5597 1042.9 -95.9863065429676 23.0057094550653
86 1620 256 1045.1 -95.984494034728 23.0023545158852
87 1503.568 455.511 1043.35 -95.9856081841255 23.0041905859998
