index	iSoil	iGeol	iLC	IC	iForc	iMF	iBC	node0	node1	node2	nabr0	nabr1	nabr2	edge0	edge1	edge2	area	x	y	zmin	zmax	soil_index	infKsatV	ThetaS	ThetaR	Alpha	Beta	hAreaF	macKsatV	infD	geol_index	KsatH	KsatV	SpYield	geo_ThetaS	geo_ThetaR	geo_vAreaF	macKsatH	macD	LC_index	VegFrac	Albedo	Rs_ref	Rmin	Rough	RzD	SoilDgrd	ImpAF	Dist2Edge0	Dist2Edge1	Dist2Edge2	Dist2Nabor0	Dist2Nabor1	Dist2Nabor2	avgRough0	avgRough1	avgRough2	windH	FixPressure	AquiferDepth	WetlandLevel	RootReachLevel	MacporeLevel	
30	1	1	1	-9999	1	1	0	0	30	45	26	52	36	73	84.5706	96.1317	84.5704	3344.58	1349.31	948.693	1040.5	1045.5	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	66.5528	70.3672	66.5527	48.9096	56.4072	60.4585	0.00025	0.00025	0.00025	10	89.559	5	4.9	4.48	4	
31	1	1	1	-9999	1	1	0	0	16	25	8	29	0	20	90.2214	74.5	125.464	3321.4	1087.76	970.278	1027.82	1032.82	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	77.872	73.5978	89.2432	46.1667	0	43.6936	0.00025	0.00025	0.00025	10	89.6948	5	4.9	4.48	4	
32	1	1	1	-9999	1	1	0	0	102	96	78	201	135	136	70.3435	80.354	70.3434	2319.86	767.88	829.042	1013.27	1018.27	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	55.4349	58.7381	55.4349	42.7754	45.4999	50.7076	0.00025	0.00025	0.00025	10	89.8507	5	4.9	4.48	4	
33	1	1	1	-9999	1	1	0	0	186	188	184	327	328	334	108.358	108.358	64.5098	3336.64	387.798	831.524	1032.27	1037.27	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	78.4609	78.4609	65.2773	46.6957	42.7091	56.4027	0.00025	0.00025	0.00025	10	89.6471	5	4.9	4.48	4	
34	1	1	1	-9999	1	1	0	0	122	131	126	230	168	220	73.7032	77.9144	99.8131	2845.34	684.433	951.337	1019.75	1024.75	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	62.4044	63.6705	70.9009	48.8697	62.3576	42.5981	0.00025	0.00025	0.00025	10	89.7812	5	4.9	4.48	4	
35	1	1	1	-9999	1	1	0	0	24	31	32	45	48	46	115.25	115.25	77.8494	4222.46	862.188	696.161	1011.77	1016.77	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	84.0763	84.0764	72.5488	48.8499	46.8786	64.2046	0.00025	0.00025	0.00025	10	89.8668	5	4.9	4.48	4	
36	1	1	1	-9999	1	1	0	0	27	30	26	30	0	42	96.1317	128	96.1317	4590.77	1300	976.09	1038.53	1043.53	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	80.373	90.8047	80.373	56.4072	0	59.1537	0.00025	0.00025	0.00025	10	89.58	5	4.9	4.48	4	
37	1	1	1	-9999	1	1	0	0	28	29	27	42	0	40	83.165	64	83.165	2456.39	1204	974.413	1033.67	1038.67	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	61.3082	55.2593	61.3082	48.9096	0	48.3047	0.00025	0.00025	0.00025	10	89.6321	5	4.9	4.48	4	
38	1	1	1	-9999	1	1	0	0	41	30	29	42	65	44	96.1318	84.5708	84.5706	3344.6	1253.21	902.591	1034.73	1039.73	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	70.3673	66.5529	66.5528	48.3569	48.3916	60.4584	0.00025	0.00025	0.00025	10	89.6207	5	4.9	4.48	4	
39	1	1	1	-9999	1	1	0	0	21	67	68	28	71	113	59.4138	59.4137	62.8421	1584.42	1082.66	707.437	1022.33	1027.33	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	45.9092	45.9092	47.0366	35.5567	50.8353	45.9446	0.00025	0.00025	0.00025	10	89.7535	5	4.9	4.48	4	
40	1	1	1	-9999	1	1	0	0	29	28	25	29	67	37	102.343	83.1651	83.165	3354.72	1165.92	944.691	1031.15	1036.15	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	73.4919	67.1689	67.1689	40.9721	50.131	48.3047	0.00025	0.00025	0.00025	10	89.6591	5	4.9	4.48	4	
41	1	1	1	-9999	1	1	0	0	25	22	42	68	67	5	78.0068	82.9866	90.2213	3002.89	1134.86	860.919	1027.95	1032.95	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	62.3341	63.9216	66.3268	53.004	47.1707	50.1707	0.00025	0.00025	0.00025	10	89.6933	5	4.9	4.48	4	
42	1	1	1	-9999	1	1	0	0	27	29	30	38	36	37	96.1318	96.1317	83.165	3604.08	1246.67	950.502	1035.37	1040.37	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	71.7804	71.7804	67.6107	48.3569	59.1537	48.9096	0.00025	0.00025	0.00025	10	89.6139	5	4.9	4.48	4	
43	1	1	1	-9999	1	1	0	0	42	34	41	66	65	64	84.5707	78.0078	113.228	3296.94	1231.21	825.933	1032.08	1037.08	0	0	0.442044	0.01	4.18347	1.14049	0.01	0	0.1	0	0	0	0.437535	0.447535	0.01	0.01	0	1	0	0	0.243008	5858.78	2.6	0.00025	0.52	0.04	1	70.6851	68.7723	80.084	59.0672	53.8247	43.0351	0.00025	0.00025	0.00025	10	89.6491	5	4.9	4.48	4	
